player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Jordan Whittington,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.27,64.12,493.26,2.64,85.12,76,181,
Brandon Aiyuk,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,3.16,16.2,0.12,30.88,49.91,499.95,2.91,84.9,77,182,
Alec Pierce,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,34.58,64.3,512.04,2.67,84.37,78,184,
Troy Franklin,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.13,69.03,436.58,3.5,83.54,79,185,
Michael Wilson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.82,24.78,0.22,35.55,56.37,442.16,2.86,82.61,80,186,
Van Jefferson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.27,64.1,484.4,2.56,82.25,81,188,
Dyami Brown,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.69,66.64,478.51,2.57,82.12,82,189,
Josh Palmer,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.54,55.36,484.34,2.87,82.08,83,190,
DeAndre Hopkins,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.71,54.71,393.9,3.82,78.58,84,195,
Tre Tucker,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,34.99,56.4,451.64,2.34,76.36,85,196,
Jalen Nailor,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.35,52.93,398.43,3.17,74.7,86,197,
Darius Slayton,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.77,60.05,460.4,2.04,73.48,87,203,
Brandin Cooks,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.47,59.99,376.74,2.86,72.23,88,207,
Jalen Tolbert,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.12,60.19,394.29,2.56,71.67,89,209,
Andrei Iosivas,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.76,52.16,363.46,3.06,70.25,90,211,
Kayshon Boutte,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.58,53.34,414.1,2.22,70.18,91,214,
Jha'Quan Jackson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.14,53.42,403.71,2.37,69.8,92,215,
Malik Washington,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.67,49.6,337.41,2.21,63,93,224,
Curtis Samuel,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,5.08,26.61,0.22,28.7,44.3,302.37,2.39,62.57,94,226,
Quentin Johnston,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.37,45.4,335.01,2.5,61.69,95,227,
K.J. Osborn,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,28.38,43.96,313.47,2.48,59.74,96,229,
Luke McCaffrey,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,29.55,46.71,315.89,2.28,59.14,97,230,
Nick Westbrook-Ikhine,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.98,43.76,331.17,2.19,58.91,98,232,
Tai Felton,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.63,43.97,297.1,2.4,56.65,99,237,
Adonai Mitchell,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.17,48.25,305.51,2.1,56.06,100,239,
Dont'e Thornton Jr.,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.89,42.3,321.16,1.88,56,101,240,
Allen Lazard,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.74,42.26,299.99,2.21,55.63,102,241,
Anthony Miller,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.35,41.68,277.92,2.58,55.27,103,242,
Tim Patrick,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.64,38.2,298.73,2.3,54.65,104,243,
